Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,2MSIMP (V),146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
2,W3QV (V),147.030000,+,0.600000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
3,N3ZA (V),145.190000,-,0.600000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
4,W3AI (V),145.310000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
5,W3HJ (V),145.330000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
6,WA3EPA (V),145.350000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
7,KD3WT (V),145.410000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
8,WM3PEN (V),146.685000,-,0.600000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
9,W3PHL (V),146.760000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
10,W3SK (V),146.790000,-,0.600000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
11,AA3E (V),146.835000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
12,K3DN (V),147.090000,+,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
13,PAARC (V),147.210000,+,0.600000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,W3BXW (V),147.300000,+,0.600000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
15,SAR EMT (V),155.160000,,0.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
16,70SIMP (U),446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
17,K3DN (U),441.150000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
18,W3WAN (U),441.700000,+,5.000000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
19,N3KZ (U),442.400000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
20,W3SBE (U),442.550000,+,5.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
21,K3TU (U),442.800000,,0.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
22,W3HJ (U),442.900000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
23,K3DN (U),443.950000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
24,WA3TSW (U),444.550000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
25,W3AI (U),444.750000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
26,W3PS (U),445.825000,-,5.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
27,KD3WT (U),446.875000,-,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
28,KB3AJF (U),447.975000,-,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
29,W3SK (U),448.225000,-,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
30,N3CB (U),448.675000,-,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
31,AA3E (U),449.125000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
32,N3EXA (U),449.725000,-,5.000000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
33,K3CX (U),449.925000,-,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
34,SEPTAN (V),160.590000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
35,SEPTAC (V),160.380000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
36,GMRS 15 (U),462.550000,off,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
37,GMRS 16 (U),462.575000,off,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
38,GMRS 17 (U),462.600000,off,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
39,GMRS 18 (U),462.625000,off,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
40,GMRS 19 (U),462.650000,off,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
41,GMRS 20 (U),462.675000,off,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
42,GMRS 21 (U),462.700000,off,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
43,GMRS 22 (U),462.725000,off,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
44,CYCLE1 (U),462.700000,,0.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
45,CYCLE2 (U),462.725000,,0.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
